ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
31218,shift1630,Derivation,1,ACCEPTED,→,pole (long stick),427,tall person,2121,Russian,157,Russian,157,"pole, perch","a lanky, gangling person",žerd&#39;,"žerdjaj, žerdila"
31219,shift1630,Polysemy,2,ACCEPTED,→,pole (long stick),427,tall person,2121,Russian,157,Russian,157,shaft,"a lanky, gangling person",ogloblja,ogloblja
31242,shift7262,Polysemy,1,NEW,→,to throw,3296,to spend (money),3195,Serbian,1093,Serbian,1093,to throw,to spend (money),бацити (baciti),бацити (baciti)
31243,shift7262,Polysemy,2,NEW,→,to throw,3296,to spend (money),3195,Croatian,812,Croatian,812,to throw,to spend (money),baciti,baciti
31247,shift7936,Polysemy,1,NEW,→,sand,3934,sugar,4327,Russian,157,Russian,157,sand,(colloquial) granulated sugar,песок (pesok),песок (pesok)
31266,shift0995,Derivation,7,ACCEPTED,?,to blossom,2354,to succeed,3242,Russian,157,Russian,157,to blossom,to prosper,cvesti,procvetat&#39;
31277,shift0801,Derivation,5,ACCEPTED,←,blood,3630,red,1444,Russian,157,Russian,157,blood (russian dial.),red haired (Russian dialects),ruda,rudoj
31284,shift5508,Derivation,1,ACCEPTED,→,lamb,148,bearded vulture,3543,Russian,157,Russian,157,lamb,bearded vulture,ягненок,ягнятник
31291,shift5973,Polysemy,2,NEW,→,to go out,2708,to take a husband,3269,Russian,157,Russian,157,to go out,to marry,выходить,выходить
31297,shift5641,Polysemy,1,ACCEPTED,→,&lt;profession&gt;,280,"firebug, Pyrrhocoris apterus",1291,Russian,157,Russian,157,diminutive of солдат 'soldier',"firebug, Pyrrhocoris apterus",солдатик,солдатик
31302,shift5641,Polysemy,6,ACCEPTED,→,&lt;profession&gt;,280,"firebug, Pyrrhocoris apterus",1291,Polish,171,Polish,171,"smith, blacksmith","firebug, Pyrrhocoris apterus",kowal,kowal
31303,shift5641,Polysemy,7,ACCEPTED,→,&lt;profession&gt;,280,"firebug, Pyrrhocoris apterus",1291,Ukrainian,138,Ukrainian,138,diminutive of козак 'Cossack',"firebug, Pyrrhocoris apterus",козачок,козачок
31304,shift5641,Derivation,8,ACCEPTED,→,&lt;profession&gt;,280,"firebug, Pyrrhocoris apterus",1291,Czech,174,Czech,174,gravedigger,"firebug, Pyrrhocoris apterus",hrobař,hrobařík
31312,shift0018,Polysemy,6,ACCEPTED,—,to hear / to listen,2759,to understand,3331,Russian,157,Russian,157,to hear,to hear,slyšat&#39;,slyšat&#39;
