ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
29218,shift0767,Polysemy,3,ACCEPTED,?,dark (adj.),4382,incomprehensible,1762,English,153,English,153,dark (OERD 1003],"unclear, vague",obscure,obscure
29219,shift0767,Polysemy,4,ACCEPTED,?,dark (adj.),4382,incomprehensible,1762,German,169,German,169,dark [Duden 880],"unclear, vague",dunkel,dunkel
29224,shift0767,Polysemy,9,ACCEPTED,→,dark (adj.),4382,incomprehensible,1762,English,153,English,153,dark (adj.),incomprehensible,opaque,opaque
29225,shift0767,Polysemy,10,ACCEPTED,→,dark (adj.),4382,incomprehensible,1762,English,153,English,153,dark (adj.),incomprehensible,murky,murky
29226,shift0767,Polysemy,11,ACCEPTED,→,dark (adj.),4382,incomprehensible,1762,English,153,English,153,dark (adj.),incomprehensible,muddy,muddy
29230,shift5302,Polysemy,1,NEW,→,pig (Sus scrofa),369,police officer,430,English,153,English,153,pig (Sus scrofa),police officer,pig,pig
29235,shift0411,Derivation,1,ACCEPTED,→,wheel,54,vehicle,3753,German,169,German,169,wheel,bicycle,Rad,Fahrrad
29301,shift1816,Derivation,7,ACCEPTED,→,to hang,2733,to depend,2507,English,153,English,153,to hang,to depend,hang,hang on
29302,shift1816,Derivation,8,ACCEPTED,→,to hang,2733,to depend,2507,Norwegian,24,Norwegian,24,to hang,to depend,henge,avhenge
29303,shift1816,Derivation,9,ACCEPTED,→,to hang,2733,to depend,2507,Danish,173,Danish,173,to hang,to depend,hænge,afhænge
29304,shift1816,Derivation,10,ACCEPTED,→,to hang,2733,to depend,2507,Swedish,135,Swedish,135,to hang,to depend,hänga,avhänga
29316,shift3317,Polysemy,4,ACCEPTED,→,&lt;dish&gt;,4374,"disorder, mess",4446,English,153,English,153,"a dish of cooked meat cut into small pieces and recooked, usually with potatoes",a mixture of jumbled incongruous things; a mess,hash,hash
29326,shift1465,Derivation,4,ACCEPTED,→,face,1214,surface,4345,English,153,English,153,face,surface,face,surface
29333,shift1211,Polysemy,2,ACCEPTED,?,to feel thirsty,2621,to want,3353,English,153,English,153,thirst,strong desire,thirst,thirst
29347,shift0013,Polysemy,11,ACCEPTED,—,"to calculate, count",2393,to have opinion,2752,German,169,German,169,to count,to be regarded as,zählen,zählen
29355,shift0013,Polysemy,19,ACCEPTED,—,"to calculate, count",2393,to have opinion,2752,English,153,English,153,to find the number of smth.,"to consider to be, to regard as",count,count
29374,shift0013,Polysemy,38,ACCEPTED,→,"to calculate, count",2393,to have opinion,2752,Icelandic,252,Icelandic,252,to count,to have opinion,telja,telja
29375,shift0013,Polysemy,39,ACCEPTED,→,"to calculate, count",2393,to have opinion,2752,Norwegian,24,Norwegian,24,to calculate,to consider as,regne,regne
29376,shift0013,Polysemy,40,ACCEPTED,→,"to calculate, count",2393,to have opinion,2752,Swedish,135,Swedish,135,to count,to consider as,räkna,räkna
29377,shift0013,Polysemy,41,ACCEPTED,→,"to calculate, count",2393,to have opinion,2752,Danish,173,Danish,173,to calculate,to consider as,regne,regne
29397,shift1075,Polysemy,2,ACCEPTED,?,to shine,3144,to seem,3122,German,169,German,169,"to shine, to glisten",to seem,scheinen,scheinen
29398,shift8224,Polysemy,1,ACCEPTED,→,activity,1940,"commerce, business",1046,German,169,German,169,occupation,"business, commercial activity",Geschäft,Geschäft
29409,shift2385,Polysemy,3,ACCEPTED,→,to croak,2476,to predict misfortune,2998,English,153,English,153,(of a frog or crow) make a characteristic deep hoarse sound,"archaic prophesy evil or misfortune, esp. unjustifiably and to the irritation of others",croak,croak
29440,shift1798,Polysemy,4,ACCEPTED,→,"to ride (e.g., a horse)",3086,to copulate,2462,Icelandic,252,Icelandic,252,to ride on horseback,"to copulate, to have sexual intercourse",ríða,ríða
29441,shift1798,Polysemy,5,ACCEPTED,→,"to ride (e.g., a horse)",3086,to copulate,2462,Danish,173,Danish,173,"to ride (e.g., a horse)",to copulate,ride,ride
29487,shift8231,Motivation,1,ACCEPTED,→,mallow,573,marsh mallow,598,English,153,English,153,Malva,Althaea officinalis,mallow,marsh mallow
29488,shift8231,Polysemy,2,ACCEPTED,—,mallow,573,marsh mallow,598,Middle English,6,Middle English,6,mallow,marsh mallow,"hocke, hokke, hoc","hocke, hokke, hoc"
29489,shift5505,Derivation,1,ACCEPTED,→,"nut, hazel",1898,Eurasian nuthatch,3861,English,153,English,153,"nut, hazel",Eurasian nuthatch,nut,nuthatch
