ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
20346,shift1084,Polysemy,3,ACCEPTED,—,beaver (Castor fiber),3547,otter (Lutra lutra),4569,Old Irish,229,Old Irish,229,beaver (Castor fiber),otter (Lutra lutra),dobrán,dobrán
20428,shift5029,Polysemy,43,NEW,→,father,1242,motherland,724,Irish Gaelic,210,Irish Gaelic,210,father,motherland,athair,athartha
20577,shift7475,Polysemy,1,NEW,→,eye,3890,"hope, expectation",1655,Old Irish,229,Old Irish,229,eye,"hope, expectation",súil,súil
20578,shift7475,Polysemy,2,NEW,→,eye,3890,"hope, expectation",1655,Irish Gaelic,210,Irish Gaelic,210,eye,"hope, expectation",súil,súil
20579,shift4757,Derivation,1,NEW,→,horse,1661,western capercaillie (Tetrao urogallus),46,Scottish Gaelic,863,Scottish Gaelic,863,horse (Equus caballus),western capercaillie (Tetrao urogallus),capall,capallcoille
21332,shift8175,Motivation,2,NEW,→,orange (plant),4556,mock-orange,687,Welsh,208,Welsh,208,orange (plant),mock-orange (Philadelphus coronarius),oren,ffug-oren
21889,shift3769,Polysemy,2,ACCEPTED,—,alike,1969,probably,468,Welsh,208,Welsh,208,alike,likely,tebyg,tebyg
21907,shift7904,Polysemy,2,ACCEPTED,—,"textile, cloth",2162,sail (n.),3920,Old Irish,229,Old Irish,229,wave,sail (n.),seol,seol
22025,shift6454,Derivation,2,NEW,→,wolf,107,mole cricket (Gryllotalpa),695,Breton,209,Breton,209,wolf,mole cricket (Gryllotalpa),bleiz,bleizig-teil
22041,shift3981,Polysemy,9,ACCEPTED,→,mirror,675,spectacles,4192,Welsh,208,Welsh,208,"looking-glass, mirror","reading-glass, spectacle lens, (in pl.) glasses, pair of spectacles",gwydr,gwydr
22080,shift6467,Derivation,9,ACCEPTED,→,cricket (insect),1136,mole cricket (Gryllotalpa),695,Irish Gaelic,210,Irish Gaelic,210,cricket (insect),mole cricket (Gryllotalpa),chriogar,caoch-chriogar
22242,shift0132,Polysemy,24,NEW,→,moon,708,Monday,698,Old Irish,229,Old Irish,229,moon,Monday,luan,luan
22251,shift0132,Derivation,33,NEW,→,moon,708,Monday,698,Welsh,208,Welsh,208,moon,Monday,Lleuad,dydd Llun
22519,shift3817,Polysemy,2,ACCEPTED,→,"horseman, rider",1666,knight (chess),1722,Irish Gaelic,210,Irish Gaelic,210,"horseman, rider",knight (chess),ridire,ridire
22701,shift0131,Derivation,22,NEW,→,Mars,597,Tuesday,3458,Welsh,208,Welsh,208,Mars,Tuesday,Mawrth,dydd Mawrth
22785,shift2629,Semantic evolution,5,NEW,→,field,1271,on the outside,4541,Irish Gaelic,210,Irish Gaelic,210,field,on the outside,mag,amach
23231,shift8232,Polysemy,1,ACCEPTED,→,hollyhock,1638,marsh mallow,598,Welsh,208,Welsh,208,hollyhock,marsh mallow,holihoc,holihoc
23414,shift2405,Polysemy,2,ACCEPTED,→,August,2054,harvest,1565,Breton,209,Breton,209,august,harvest,eost,eost
23579,shift8403,Polysemy,3,ACCEPTED,→,rut,1531,October,4521,Scottish Gaelic,863,Scottish Gaelic,863,rutting,October,dàmhair,an Dàmhair
23580,shift8403,Polysemy,4,ACCEPTED,→,rut,1531,October,4521,Welsh,208,Welsh,208,stag call,October,hydref,Hydref
23696,shift1171,Polysemy,85,NEW,—,heart,1588,location of emotions,239,Irish Gaelic,210,Irish Gaelic,210,heart,location of emotions,croí,croí
23776,shift7395,Polysemy,3,NEW,→,stone (piece of rock),4281,measure of weight,620,Irish Gaelic,210,Irish Gaelic,210,stone (piece of rock),measure of weight,cloch,cloch
23858,shift6145,Derivation,2,ACCEPTED,→,shadow,4010,umbrella,504,Irish Gaelic,210,Irish Gaelic,210,shadow,umbrella,scáth,scáth fearthainne
23859,shift6145,Derivation,3,ACCEPTED,→,shadow,4010,umbrella,504,Scottish Gaelic,863,Scottish Gaelic,863,"shadow, shade",umbrella,sgàile,sgàilean
23923,shift4133,Polysemy,3,ACCEPTED,—,insect,1786,fly (n.),1327,Welsh,208,Welsh,208,iinsect,(house)fly,pryf,pryf
23968,shift4686,Derivation,22,ACCEPTED,→,blind,3624,caecum (blind gut),871,Irish Gaelic,210,Irish Gaelic,210,blind,caecum (blind gut),caoch,caochán
23987,shift2152,Motivation,10,NEW,→,tail,2113,"horsetail, equisetum",1669,Irish Gaelic,210,Irish Gaelic,210,tail,"horsetail, equisetum",eireaball,eireaball capaill
24276,shift2204,Polysemy,2,ACCEPTED,→,young person,2093,soldier,4154,Irish Gaelic,210,Irish Gaelic,210,young man,warrior,ōc,ōc
24405,shift5092,Polysemy,33,ACCEPTED,→,"idler, loafer",1736,sloth (South American mammal),4119,Welsh,208,Welsh,208,"lazy person, sluggard, idler","sloth, one of the Bradypodidæ",diogyn,diogyn
24417,shift2703,Derivation,3,ACCEPTED,→,to lick,2847,spoon,4217,Old Irish,229,Old Irish,229,to lick,spoon,ligim,liag
24514,shift0213,Polysemy,4,ACCEPTED,→,clean (adj.),998,"totally, absolutely",3415,Irish Gaelic,210,Irish Gaelic,210,clean (adj.),"totally, absolutely",glan,glan
