ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
28004,shift0071,Polysemy,9,ACCEPTED,—,part,306,destiny,4419,Ancient Greek,116,Ancient Greek,116,"part, share","destiny, fate, lot",αἶσα,αἶσα
28008,shift0071,Polysemy,13,ACCEPTED,—,part,306,destiny,4419,Ancient Greek,116,Ancient Greek,116,part,"lot, fate",μερίς,μερίς
28270,shift0016,Polysemy,4,ACCEPTED,—,sweet (taste),4358,"dear, darling",4397,Ancient Greek,116,Ancient Greek,116,sweet,"of persons, sweet, dear",γλυκύς,γλυκύς
28271,shift0016,Polysemy,5,ACCEPTED,→,sweet (taste),4358,"dear, darling",4397,Ancient Greek,116,Ancient Greek,116,sweet,"dear, darling",ἡδύς,ἡδύς
28279,shift0955,Polysemy,2,ACCEPTED,—,"country, land",1109,"people, nation",345,Ancient Greek,116,Ancient Greek,116,"earth, land, region, district",people,δῆμος,δῆμος
28290,shift4708,Polysemy,1,NEW,→,drama (theatre),4477,distressing event,4452,Ancient Greek,116,Ancient Greek,116,"action represented on the stage, drama, play",tragical event,δρᾶμα,δρᾶμα
28297,shift0785,Polysemy,2,ACCEPTED,→,to press,3002,to oppress,2952,Ancient Greek,116,Ancient Greek,116,"to press, to jam, to squeeze, to compress","to depress, to torment",θλίβω,θλίβω
28308,shift0785,Polysemy,13,ACCEPTED,→,to press,3002,to oppress,2952,Ancient Greek,116,Ancient Greek,116,"to press, to tighten",to oppress,πιέζω,πιέζω
28321,shift3333,Polysemy,1,ACCEPTED,→,to boil (intr.),2361,"to worry, be agitated",3382,Ancient Greek,116,Ancient Greek,116,to boil,to boil (of passion),ζέω,ζέω
28370,shift5677,Derivation,1,ACCEPTED,→,vessel,3762,cell (in biology),924,Modern Greek,239,Modern Greek,239,"vessel (vase, jug, ewer, urn)",cell (in biology),κύτος,κύτταρο
28394,shift0749,Polysemy,8,ACCEPTED,—,to blow,2355,to breathe,2373,Modern Greek,239,Modern Greek,239,to blow,to breathe,pneō,pneō
28433,shift4741,Polysemy,1,NEW,→,"wizard, magician",105,fraudster,1367,Ancient Greek,116,Ancient Greek,116,"sorcerer, wizard","juggler, cheat",γόης,γόης
28484,shift7526,Derivation,4,ACCEPTED,→,forty,1354,myriapod,757,Modern Greek,239,Modern Greek,239,forty,myriapod,σαράντα,σαρανταποδαρούσα
28541,shift0909,Polysemy,2,NEW,?,left,183,South,4179,Ancient Greek,116,Ancient Greek,116,left,southern,ἕτερος,ἕτερος
28636,shift1369,Polysemy,5,ACCEPTED,→,"step, pace",4257,unit of length,528,Ancient Greek,116,Ancient Greek,116,"step, pace",unit of length,βῆμα,βῆμα
28739,shift5629,Derivation,2,NEW,→,Easter,3804,ladybird,145,Modern Greek,239,Modern Greek,239,Easter,ladybird,Πάσχα,πασχαλίτσα
28757,shift0886,Polysemy,5,ACCEPTED,?,"bile, gall",3589,anger,1996,Ancient Greek,116,Ancient Greek,116,bile,"irritation, anger",χολή,χολή
28773,shift1380,Polysemy,4,ACCEPTED,→,"to untie, unbind",3338,to set free,3133,Ancient Greek,116,Ancient Greek,116,untie,to set free,λύω,λύω
