ID,Shift_ID,Type,Realization,Status,Direction,Source_Concept,Source_Concept_ID,Target_Concept,Target_Concept_ID,Source_Language,Source_Language_ID,Target_Language,Target_Language_ID,Source_Meaning,Target_Meaning,Source_Word,Target_Word
21532,shift5815,Polysemy,8,ACCEPTED,→,rainbow,1421,iris (anatomy),1805,Latvian,140,Latvian,140,rainbow,iris (anatomy),varavīksne,varavīksnene
21706,shift0482,Polysemy,9,ACCEPTED,?,mouth,735,"opening, hole",4551,Latvian,140,Latvian,140,mouth,"mouth (stove), jointer plane opening",mute,mute
21768,shift6119,Derivation,4,ACCEPTED,→,fifth,1275,Friday,1378,Latvian,140,Latvian,140,fifth,Friday,piektais,Piektdiena
21775,shift6119,Derivation,11,ACCEPTED,→,fifth,1275,Friday,1378,Lithuanian,126,Lithuanian,126,fifth,Friday,penkta,penktadienis
21791,shift2672,Derivation,4,ACCEPTED,→,plant (biol.),398,(gun)powder,758,Latvian,140,Latvian,140,"grass, plant",gunpowder,zāle,bi(s)zāles (pl.)
22079,shift6467,Derivation,8,ACCEPTED,→,cricket (insect),1136,mole cricket (Gryllotalpa),695,Latvian,140,Latvian,140,cricket (insect),mole cricket (Gryllotalpa),circenis,racējcircenis
22415,shift2089,Polysemy,2,ACCEPTED,?,dust,4503,pollen,433,Lithuanian,126,Lithuanian,126,dust,pollen,dùlkės,dùlkės
22454,shift0923,Derivation,3,ACCEPTED,?,"naked, bare",1819,bald,3504,Lithuanian,126,Lithuanian,126,naked,"bald head, calvity",plikas,plei~ke
22748,shift6038,Derivation,3,ACCEPTED,→,first,1297,Monday,698,Latvian,140,Latvian,140,first,Monday,pirmais,pirmdiena
22752,shift6038,Derivation,7,ACCEPTED,→,first,1297,Monday,698,Lithuanian,126,Lithuanian,126,first,Monday,pirma,pirmadienis
22765,shift1539,Polysemy,9,ACCEPTED,→,cross (n.),1142,clubs (in cards),1015,Latvian,140,Latvian,140,cross (n.),clubs (in cards),krusts,krusts
22774,shift2730,Polysemy,6,ACCEPTED,—,to cut,2484,to mow grass,2934,Lithuanian,126,Lithuanian,126,to cut,to mow,pjauti,pjauti
22781,shift2629,Derivation,1,ACCEPTED,→,field,1271,on the outside,4541,Lithuanian,126,Lithuanian,126,field,outside,laũkas,laukè
22815,shift0856,Polysemy,30,ACCEPTED,→,moon,708,month,706,Lithuanian,126,Lithuanian,126,moon,month,mėnuo,mėnuo
22979,shift0856,Cognates,194,NEW,→,moon,708,month,706,Latvian,140,Latvian,140,moon,month,mēness,mēnesis
23266,shift2773,Derivation,1,NEW,→,to shoot,3149,shuttle (weaving instrument),4061,Lithuanian,126,Lithuanian,126,to shoot,shuttle,šádyti,šaudyklė
23557,shift5806,Derivation,6,ACCEPTED,→,net (n.),1848,retina,1466,Latvian,140,Latvian,140,"net, toils, network",retina,tīkls,tīklene
23633,shift1171,Polysemy,22,ACCEPTED,→,heart,1588,location of emotions,239,Lithuanian,126,Lithuanian,126,heart,location of emotions,širdis,širdis
23822,shift7601,Polysemy,1,NEW,→,pigeon (Columba),370,April,2021,Lithuanian,126,Lithuanian,126,"pigeon, dove",April,balañdis,balañdis
23945,shift7186,Motivation,5,ACCEPTED,→,substitution,4318,pronoun,475,Latvian,140,Latvian,140,"replacement, substitute",pronoun,vietnieks,vietniekvārds
24070,shift3287,Polysemy,1,ACCEPTED,→,yoke,2085,yoke (figuratively),2086,Lithuanian,126,Lithuanian,126,yoke,NA,jùngas,jùngas
24271,shift0055,Polysemy,13,ACCEPTED,?,sharp,4022,spicy,4198,Lithuanian,126,Lithuanian,126,sharp,spicy,aštrùs,aštrùs
24376,shift5092,Polysemy,4,ACCEPTED,→,"idler, loafer",1736,sloth (South American mammal),4119,Latvian,140,Latvian,140,lazy person,sloth (South American mammal),sliņķis,sliņķis
24394,shift5092,Polysemy,22,ACCEPTED,→,"idler, loafer",1736,sloth (South American mammal),4119,Lithuanian,126,Lithuanian,126,"laziness, lazy person, idler, loafer",sloth (South American mammal),tinginys,tinginys
24576,shift5614,Derivation,7,ACCEPTED,→,right (vs. left),1481,right (political),1480,Latvian,140,Latvian,140,right (vs. left),"(politics) right-wing, conservative (opposed to progressive, left-wing politics)",labs,labējs
25133,shift0005,Polysemy,1,ACCEPTED,—,"to go, walk",2715,to find,2627,Lithuanian,126,Lithuanian,126,to go round,to find,apeíti,apeíti
25248,shift0875,Polysemy,5,ACCEPTED,→,black,3610,"vulgar, common",3784,Lithuanian,126,Lithuanian,126,dark,"mob, populace",tamsùs,tamsuõliai
25312,shift3974,Polysemy,2,ACCEPTED,→,fisherman,1302,osprey (Pandion haliaёtus),4565,Lithuanian,126,Lithuanian,126,fisherman,osprey (Pandion haliaёtus),žuvininkas,žuvininkas
25335,shift6120,Derivation,2,ACCEPTED,→,sixth,4094,Saturday,3945,Latvian,140,Latvian,140,sixth,Saturday,sestais,Sestdiena
25336,shift6120,Derivation,3,ACCEPTED,→,sixth,4094,Saturday,3945,Lithuanian,126,Lithuanian,126,sixth,Saturday,šešta,šeštadienis
25419,shift0241,Polysemy,3,ACCEPTED,?,"to present, gift",3001,to forgive,2654,Lithuanian,126,Lithuanian,126,"to give, to donate",to forgive,dovanóti,dovanóti
25672,shift1143,Polysemy,4,ACCEPTED,—,round (adj.),1511,entire,3846,Lithuanian,126,Lithuanian,126,round,"whole, entire",ãpskritas,ãpskritas
25678,shift2736,Polysemy,2,ACCEPTED,→,to rub,3100,to wash (clothes),3356,Lithuanian,126,Lithuanian,126,to rub,to wash,trìnti,trìnti
26020,shift8174,Derivation,5,ACCEPTED,—,common jasmine,1055,mock-orange,687,Lithuanian,126,Lithuanian,126,common jasmine,mock-orange,jazmináitis,jazmìnas
26172,shift2094,Polysemy,1,NEW,?,sharp,4022,severe (about pain),4002,Lithuanian,126,Lithuanian,126,NA,NA,aštrùs,aštrùs
26382,shift6392,Derivation,3,ACCEPTED,→,sun,4333,moderlieschen,690,Lithuanian,126,Lithuanian,126,sun,moderlieschen,sáulė,saulažuvė
26468,shift4263,Derivation,51,ACCEPTED,→,nameless,1821,ring finger,1483,Lithuanian,126,Lithuanian,126,nameless,ring finger,bevardis,bevardis pirštas
26686,shift2419,Polysemy,1,NEW,→,elm,3829,beech,3557,Latvian,140,Latvian,140,elm tree,beech,vīksna,vīksna
26776,shift1667,Derivation,3,ACCEPTED,→,rooster,1497,chanterelle,942,Lithuanian,126,Lithuanian,126,rooster,chanterelle,gaidy˜s,gaidùkas
26782,shift1667,Derivation,9,NEW,→,rooster,1497,chanterelle,942,Latvian,140,Latvian,140,rooster,chanterelle,gailis,gailene
26952,shift2357,Derivation,3,ACCEPTED,→,father,1242,parents,302,Lithuanian,126,Lithuanian,126,father,parents,tévas,tėvaĩ
